source,target,source group,target group,value
Napoleon,Myriel,1,1,1
Mlle.Baptistine,Myriel,1,1,8
Mme.Magloire,Myriel,1,1,10
Mme.Magloire,Mlle.Baptistine,1,1,6
CountessdeLo,Myriel,1,1,1
Geborand,Myriel,1,1,1
Champtercier,Myriel,1,1,1
Cravatte,Myriel,1,1,1
Count,Myriel,1,1,2
OldMan,Myriel,1,1,1
Valjean,Labarre,2,2,1
Valjean,Mme.Magloire,2,1,3
Valjean,Mlle.Baptistine,2,1,3
Valjean,Myriel,2,1,5
Marguerite,Valjean,3,2,1
Mme.deR,Valjean,2,2,1
Isabeau,Valjean,2,2,1
Gervais,Valjean,2,2,1
Listolier,Tholomyes,3,3,4
Fameuil,Tholomyes,3,3,4
Fameuil,Listolier,3,3,4
Blacheville,Tholomyes,3,3,4
Blacheville,Listolier,3,3,4
Blacheville,Fameuil,3,3,4
Favourite,Tholomyes,3,3,3
Favourite,Listolier,3,3,3
Favourite,Fameuil,3,3,3
Favourite,Blacheville,3,3,4
Dahlia,Tholomyes,3,3,3
Dahlia,Listolier,3,3,3
Dahlia,Fameuil,3,3,3
Dahlia,Blacheville,3,3,3
Dahlia,Favourite,3,3,5
Zephine,Tholomyes,3,3,3
Zephine,Listolier,3,3,3
Zephine,Fameuil,3,3,3
Zephine,Blacheville,3,3,3
Zephine,Favourite,3,3,4
Zephine,Dahlia,3,3,4
Fantine,Tholomyes,3,3,3
Fantine,Listolier,3,3,3
Fantine,Fameuil,3,3,3
Fantine,Blacheville,3,3,3
Fantine,Favourite,3,3,4
Fantine,Dahlia,3,3,4
Fantine,Zephine,3,3,4
Fantine,Marguerite,3,3,2
Fantine,Valjean,3,2,9
Mme.Thenardier,Fantine,4,3,2
Mme.Thenardier,Valjean,4,2,7
Thenardier,Mme.Thenardier,4,4,13
Thenardier,Fantine,4,3,1
Thenardier,Valjean,4,2,12
Cosette,Mme.Thenardier,5,4,4
Cosette,Valjean,5,2,31
Cosette,Tholomyes,5,3,1
Cosette,Thenardier,5,4,1
Javert,Valjean,4,2,17
Javert,Fantine,4,3,5
Javert,Thenardier,4,4,5
Javert,Mme.Thenardier,4,4,1
Javert,Cosette,4,5,1
Fauchelevent,Valjean,0,2,8
Fauchelevent,Javert,0,4,1
Bamatabois,Fantine,2,3,1
Bamatabois,Javert,2,4,1
Bamatabois,Valjean,2,2,2
Perpetue,Fantine,3,3,1
Simplice,Perpetue,2,3,2
Simplice,Valjean,2,2,3
Simplice,Fantine,2,3,2
Simplice,Javert,2,4,1
Scaufflaire,Valjean,2,2,1
Woman1,Valjean,2,2,2
Woman1,Javert,2,4,1
Judge,Valjean,2,2,3
Judge,Bamatabois,2,2,2
Champmathieu,Valjean,2,2,3
Champmathieu,Judge,2,2,3
Champmathieu,Bamatabois,2,2,2
Brevet,Judge,2,2,2
Brevet,Champmathieu,2,2,2
Brevet,Valjean,2,2,2
Brevet,Bamatabois,2,2,1
Chenildieu,Judge,2,2,2
Chenildieu,Champmathieu,2,2,2
Chenildieu,Brevet,2,2,2
Chenildieu,Valjean,2,2,2
Chenildieu,Bamatabois,2,2,1
Cochepaille,Judge,2,2,2
Cochepaille,Champmathieu,2,2,2
Cochepaille,Brevet,2,2,2
Cochepaille,Chenildieu,2,2,2
Cochepaille,Valjean,2,2,2
Cochepaille,Bamatabois,2,2,1
Pontmercy,Thenardier,4,4,1
Boulatruelle,Thenardier,6,4,1
Eponine,Mme.Thenardier,4,4,2
Eponine,Thenardier,4,4,3
Anzelma,Eponine,4,4,2
Anzelma,Thenardier,4,4,2
Anzelma,Mme.Thenardier,4,4,1
Woman2,Valjean,5,2,3
Woman2,Cosette,5,5,1
Woman2,Javert,5,4,1
MotherInnocent,Fauchelevent,0,0,3
MotherInnocent,Valjean,0,2,1
Gribier,Fauchelevent,0,0,2
Mme.Burgon,Jondrette,7,7,1
Gavroche,Mme.Burgon,8,7,2
Gavroche,Thenardier,8,4,1
Gavroche,Javert,8,4,1
Gavroche,Valjean,8,2,1
Gillenormand,Cosette,5,5,3
Gillenormand,Valjean,5,2,2
Magnon,Gillenormand,5,5,1
Magnon,Mme.Thenardier,5,4,1
Mlle.Gillenormand,Gillenormand,5,5,9
Mlle.Gillenormand,Cosette,5,5,2
Mlle.Gillenormand,Valjean,5,2,2
Mme.Pontmercy,Mlle.Gillenormand,5,5,1
Mme.Pontmercy,Pontmercy,5,4,1
Mlle.Vaubois,Mlle.Gillenormand,5,5,1
Lt.Gillenormand,Mlle.Gillenormand,5,5,2
Lt.Gillenormand,Gillenormand,5,5,1
Lt.Gillenormand,Cosette,5,5,1
Marius,Mlle.Gillenormand,8,5,6
Marius,Gillenormand,8,5,12
Marius,Pontmercy,8,4,1
Marius,Lt.Gillenormand,8,5,1
Marius,Cosette,8,5,21
Marius,Valjean,8,2,19
Marius,Tholomyes,8,3,1
Marius,Thenardier,8,4,2
Marius,Eponine,8,4,5
Marius,Gavroche,8,8,4
BaronessT,Gillenormand,5,5,1
BaronessT,Marius,5,8,1
Mabeuf,Marius,8,8,1
Mabeuf,Eponine,8,4,1
Mabeuf,Gavroche,8,8,1
Enjolras,Marius,8,8,7
Enjolras,Gavroche,8,8,7
Enjolras,Javert,8,4,6
