Airline,Source airport,Destination airport,Source region,Destination region
B6,ABQ,JFK,US-West,US-Northeast
B6,AUA,BOS,Caribbean,US-Northeast
B6,AUA,JFK,Caribbean,US-Northeast
B6,AUS,BOS,US-Texas,US-Northeast
B6,AUS,FLL,US-Texas,US-Southeast
B6,AUS,JFK,US-Texas,US-Northeast
B6,AUS,LGB,US-Texas,US-West
B6,AUS,MCO,US-Texas,US-Southeast
B6,AUS,SFO,US-Texas,US-West
B6,AZS,JFK,Caribbean,US-Northeast
B6,BDA,JFK,Caribbean,US-Northeast
B6,BDL,FLL,US-Northeast,US-Southeast
B6,BDL,MCO,US-Northeast,US-Southeast
B6,BDL,PBI,US-Northeast,US-Southeast
B6,BDL,SJU,US-Northeast,Caribbean
B6,BDL,TPA,US-Northeast,US-Southeast
B6,BGI,JFK,Caribbean,US-Northeast
B6,BOG,FLL,Latin America,US-Southeast
B6,BOG,MCO,Latin America,US-Southeast
B6,BOS,AUA,US-Northeast,Caribbean
B6,BOS,AUS,US-Northeast,US-Texas
B6,BOS,BUF,US-Northeast,US-Northeast
B6,BOS,BWI,US-Northeast,US-Northeast
B6,BOS,CHS,US-Northeast,US-Southeast
B6,BOS,CLT,US-Northeast,US-Southeast
B6,BOS,CUN,US-Northeast,Latin America
B6,BOS,DCA,US-Northeast,US-Northeast
B6,BOS,DEN,US-Northeast,US-West
B6,BOS,DFW,US-Northeast,US-Texas
B6,BOS,DTW,US-Northeast,US-Midwest
B6,BOS,DXB,US-Northeast,Middle East
B6,BOS,EWR,US-Northeast,US-Northeast
B6,BOS,FLL,US-Northeast,US-Southeast
B6,BOS,HOU,US-Northeast,US-Texas
B6,BOS,IAD,US-Northeast,US-Northeast
B6,BOS,JAX,US-Northeast,US-Southeast
B6,BOS,JFK,US-Northeast,US-Northeast
B6,BOS,LAS,US-Northeast,US-West
B6,BOS,LAX,US-Northeast,US-West
B6,BOS,LGB,US-Northeast,US-West
B6,BOS,MCO,US-Northeast,US-Southeast
B6,BOS,MSY,US-Northeast,US-Southeast
